Timestamp,Channel,Product,Customer_Comment,Sentiment,Customer_ID
2025-05-21 11:43:00,Chat,Mobile Banking,Agent was rude during call,Negative,CUST4675
2025-06-23 11:43:00,Web Form,Savings Account,Loan approval taking too long,Negative,CUST1105
2025-06-20 11:43:00,Call,Credit Card,Confusing terms in personal loan policy,Positive,CUST1757
2025-06-27 11:43:00,Web Form,Personal Loan,Unable to reset password,Negative,CUST2305
2025-06-19 11:43:00,Chat,Savings Account,Confusing terms in personal loan policy,Negative,CUST9382
2025-06-05 11:43:00,Web Form,Credit Card,Loan approval taking too long,Negative,CUST4064
2025-06-04 11:43:00,Chat,Customer Support,Agent was rude during call,Negative,CUST6571
2025-06-15 11:43:00,Mobile App,Mobile Banking,Confusing terms in personal loan policy,Negative,CUST8698
2025-07-03 11:43:00,Call,Personal Loan,Payment failed but amount deducted,Positive,CUST5452
2025-06-05 11:43:00,Email,Customer Support,Payment failed but amount deducted,Negative,CUST3222
2025-05-29 11:43:00,Chat,Personal Loan,Payment failed but amount deducted,Positive,CUST2661
2025-05-29 11:43:00,Call,Mobile Banking,Payment failed but amount deducted,Neutral,CUST5232
2025-07-11 11:43:00,Web Form,Credit Card,Unable to reset password,Neutral,CUST8460
2025-06-29 11:43:00,Email,Credit Card,Wrong interest rate applied,Negative,CUST3042
2025-07-12 11:43:00,Email,Personal Loan,Agent was rude during call,Neutral,CUST5523
2025-07-10 11:43:00,Mobile App,Mobile Banking,Agent was rude during call,Negative,CUST4369
2025-06-22 11:43:00,Mobile App,Credit Card,Wrong interest rate applied,Positive,CUST9400
2025-06-06 11:43:00,Web Form,Customer Support,Unexpected charges on statement,Negative,CUST7979
2025-05-18 11:43:00,Call,Mobile Banking,Agent was rude during call,Negative,CUST6032
2025-05-20 11:43:00,Mobile App,Savings Account,Payment failed but amount deducted,Neutral,CUST7399
2025-06-10 11:43:00,Call,Personal Loan,Delayed response from support team,Negative,CUST9097
2025-05-27 11:43:00,Chat,Mobile Banking,App keeps crashing during login,Negative,CUST9568
2025-07-03 11:43:00,Chat,Personal Loan,Credit card blocked without notice,Negative,CUST2049
2025-06-17 11:43:00,Web Form,Credit Card,Delayed response from support team,Negative,CUST2363
2025-05-19 11:43:00,Call,Personal Loan,Credit card blocked without notice,Negative,CUST5498
2025-05-20 11:43:00,Email,Savings Account,Unable to reset password,Neutral,CUST1839
2025-06-06 11:43:00,Web Form,Personal Loan,Unexpected charges on statement,Negative,CUST9092
2025-07-02 11:43:00,Web Form,Mobile Banking,Agent was rude during call,Neutral,CUST1806
2025-06-17 11:43:00,Web Form,Personal Loan,Loan approval taking too long,Positive,CUST7563
2025-05-30 11:43:00,Call,Customer Support,Unexpected charges on statement,Negative,CUST9882
2025-05-22 11:43:00,Mobile App,Customer Support,Delayed response from support team,Neutral,CUST3426
2025-06-13 11:43:00,Web Form,Mobile Banking,Unable to reset password,Neutral,CUST7394
2025-06-07 11:43:00,Mobile App,Mobile Banking,Unable to reset password,Negative,CUST3408
